Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,119.190002,119.250000,117.800003,118.610001,115.547615,886400
2021-01-05,118.000000,118.419998,117.550003,118.139999,115.089752,469500
2021-01-06,115.900002,116.300003,115.550003,115.680000,112.693268,508800
2021-01-07,115.779999,115.870003,115.019997,115.290001,112.313332,351300
2021-01-08,114.699997,114.919998,114.000000,114.839996,111.874947,249900
2021-01-11,113.139999,113.500000,112.910004,113.209999,110.287033,343000
2021-01-12,113.370003,113.620003,112.389999,113.129997,110.209099,462800
2021-01-13,113.839996,114.239998,112.599998,113.320000,110.394196,380500
2021-01-14,113.110001,113.360001,112.629997,112.650002,109.741501,1224200
2021-01-15,112.849998,113.620003,112.779999,113.220001,110.296783,1773600
2021-01-19,114.379997,114.389999,113.029999,113.550003,110.618263,923600
2021-01-20,113.269997,113.750000,113.199997,113.699997,110.764381,248700
2021-01-21,113.430000,113.949997,113.010002,113.379997,110.452644,358100
2021-01-22,114.169998,114.570000,113.919998,114.309998,111.358635,229800
2021-01-25,114.580002,115.330002,114.260002,115.290001,112.313332,297500
2021-01-26,116.330002,116.720001,116.010002,116.669998,113.657700,445300
2021-01-27,116.720001,117.190002,116.300003,116.870003,113.852539,1622500
2021-01-28,115.860001,116.279999,115.440002,115.529999,112.547134,308900
2021-01-29,113.110001,113.220001,111.790001,112.300003,109.400536,443000
2021-02-01,114.019997,114.599998,113.889999,114.389999,111.436569,245100
2021-02-02,114.169998,114.529999,113.820000,114.260002,111.309929,488800
2021-02-03,114.459999,114.529999,113.370003,113.559998,110.627998,365500
2021-02-04,112.529999,112.889999,112.269997,112.629997,109.722008,444200
2021-02-05,111.250000,111.480003,111.000000,111.040001,108.173065,1425700
2021-02-08,111.260002,111.330002,110.099998,110.400002,107.549591,462900
2021-02-09,111.400002,111.540001,110.779999,111.230003,108.358162,478500
2021-02-10,113.629997,113.629997,112.230003,112.550003,109.644081,467600
2021-02-11,113.129997,113.360001,112.769997,113.260002,110.335747,254800
2021-02-12,112.519997,113.239998,112.430000,113.230003,110.306526,371100
2021-02-16,112.820000,112.849998,112.099998,112.120003,109.225182,1678200
2021-02-17,111.449997,112.059998,111.330002,111.800003,108.913445,521900
2021-02-18,111.050003,111.379997,110.669998,111.290001,108.416611,586100
2021-02-19,110.610001,110.680000,109.529999,109.629997,106.799469,501400
2021-02-22,109.669998,110.309998,109.330002,109.330002,106.507217,764600
2021-02-23,107.589996,107.599998,107.000000,107.339996,104.568588,409300
2021-02-24,106.570000,106.980003,106.239998,106.519997,103.769760,801800
2021-02-25,106.139999,106.639999,105.110001,105.150002,102.435143,599700
2021-02-26,106.050003,106.059998,104.500000,104.820000,102.113655,517200
2021-03-01,105.750000,106.239998,105.639999,105.989998,103.253448,769300
2021-03-02,106.379997,107.489998,106.250000,107.180000,104.412727,356700
2021-03-03,105.610001,105.940002,105.199997,105.510002,102.785843,554100
2021-03-04,106.660004,107.290001,105.010002,105.419998,102.698166,1047000
2021-03-05,106.099998,107.169998,105.559998,106.900002,104.139954,253400
2021-03-08,105.739998,106.379997,105.690002,105.790001,103.058617,283600
2021-03-09,107.820000,108.459999,107.650002,108.199997,105.406387,501000
2021-03-10,108.389999,108.500000,107.699997,107.940002,105.153107,1709300
2021-03-11,108.570000,109.019997,108.250000,108.750000,105.942192,359800
2021-03-12,107.339996,107.949997,107.209999,107.949997,105.162842,250000
2021-03-15,107.760002,108.279999,107.690002,107.970001,105.182327,400500
2021-03-16,108.910004,109.489998,108.760002,108.989998,106.175995,521100
2021-03-17,109.129997,110.199997,108.760002,109.900002,107.062500,311700
2021-03-18,109.250000,110.000000,108.699997,108.769997,105.961670,492900
2021-03-19,109.669998,111.019997,109.510002,110.410004,107.559334,316700
2021-03-22,110.419998,111.550003,110.250000,111.349998,108.475060,271900
2021-03-23,111.410004,112.160004,111.349998,111.690002,108.806282,240800
2021-03-24,110.989998,111.760002,110.820000,111.330002,108.455582,193400
2021-03-25,112.440002,112.440002,111.019997,111.669998,108.786797,344100
2021-03-26,110.449997,111.589996,110.129997,111.500000,108.621185,409300
2021-03-29,112.129997,112.570000,112.080002,112.260002,109.361565,227800
2021-03-30,112.220001,112.629997,112.169998,112.480003,109.575890,319300
2021-03-31,112.080002,112.260002,111.400002,111.510002,108.630928,223900
2021-04-01,111.070000,112.589996,111.000000,112.449997,109.546654,288800
2021-04-05,112.720001,114.290001,112.190002,113.959999,111.017670,289100
2021-04-06,113.919998,114.389999,113.889999,114.269997,111.319664,229300
2021-04-07,115.500000,115.760002,115.320000,115.470001,112.488686,276800
2021-04-08,116.779999,117.389999,116.699997,117.250000,114.222733,276500
2021-04-09,117.430000,117.839996,117.199997,117.769997,114.729301,192200
2021-04-12,117.040001,117.809998,117.000000,117.559998,114.524719,1172000
2021-04-13,116.809998,117.300003,116.430000,117.110001,114.086342,258600
2021-04-14,116.760002,116.889999,115.919998,116.230003,113.229065,231200
2021-04-15,116.470001,117.230003,116.470001,116.989998,113.969437,193600
2021-04-16,117.349998,118.970001,116.949997,118.750000,115.683998,270900
2021-04-19,116.070000,116.320000,115.599998,116.120003,116.120003,522200
2021-04-20,116.120003,116.360001,115.750000,115.879997,115.879997,409600
2021-04-21,116.300003,117.139999,116.260002,116.930000,116.930000,215300
2021-04-22,119.919998,120.099998,119.250000,119.709999,119.709999,259300
2021-04-23,119.330002,120.360001,118.970001,120.110001,120.110001,655700
2021-04-26,119.110001,119.589996,118.430000,118.900002,118.900002,199600
2021-04-27,118.070000,118.650002,118.059998,118.639999,118.639999,263600
2021-04-28,118.239998,119.199997,118.239998,118.970001,118.970001,437500
2021-04-29,119.610001,120.250000,118.970001,120.209999,120.209999,292400
